Max error: 0.000000
superblue18 13277 ms  k 2741
superblue4 39466 ms  k 4887
superblue16 25579 ms  k 3846
superblue5 16486 ms  k 3018
superblue1 25978 ms  k 3812
superblue3 34610 ms  k 4393
superblue10 71254 ms  k 6204
superblue7 88645 ms  k 7420
superblue18 13138 ms  k 2741
superblue4 39555 ms  k 4887
superblue16 25686 ms  k 3846
superblue5 15489 ms  k 3018
superblue1 25840 ms  k 3812
superblue3 35185 ms  k 4393
superblue10 70952 ms  k 6204
superblue7 88656 ms  k 7420
superblue18 13356 ms  k 2741
superblue4 39837 ms  k 4887
superblue16 25438 ms  k 3846
superblue5 15554 ms  k 3018
superblue1 25648 ms  k 3812
superblue3 35126 ms  k 4393
superblue10 71293 ms  k 6204
superblue7 89170 ms  k 7420
superblue18 12870 ms  k 2741
superblue4 39466 ms  k 4887
superblue16 25275 ms  k 3846
superblue5 15478 ms  k 3018
superblue1 25993 ms  k 3812
superblue3 34930 ms  k 4393
superblue10 71426 ms  k 6204
superblue7 88691 ms  k 7420
superblue18 13197 ms  k 2741
superblue4 39290 ms  k 4887
superblue16 24704 ms  k 3846
superblue5 15480 ms  k 3018
superblue1 25905 ms  k 3812
superblue3 35357 ms  k 4393
superblue10 71760 ms  k 6204
superblue7 88859 ms  k 7420
superblue18 13036 ms  k 2741
superblue4 39866 ms  k 4887
superblue16 25199 ms  k 3846
superblue5 15490 ms  k 3018
superblue1 26292 ms  k 3812
superblue3 34709 ms  k 4393
superblue10 71322 ms  k 6204
superblue7 88910 ms  k 7420
superblue18 12993 ms  k 2741
superblue4 40140 ms  k 4887
superblue16 25607 ms  k 3846
superblue5 15490 ms  k 3018
superblue1 25931 ms  k 3812
superblue3 35341 ms  k 4393
superblue10 71048 ms  k 6204
superblue7 89536 ms  k 7420
superblue18 13198 ms  k 2741
superblue4 39220 ms  k 4887
superblue16 25055 ms  k 3846
superblue5 15541 ms  k 3018
superblue1 25939 ms  k 3812
superblue3 34600 ms  k 4393
superblue10 71300 ms  k 6204
superblue7 88635 ms  k 7420
superblue18 12978 ms  k 2741
superblue4 39466 ms  k 4887
superblue16 25245 ms  k 3846
superblue5 15626 ms  k 3018
superblue1 25447 ms  k 3812
superblue3 34469 ms  k 4393
superblue10 71141 ms  k 6204
superblue7 88542 ms  k 7420
superblue18 12887 ms  k 2741
superblue4 39367 ms  k 4887
superblue16 25673 ms  k 3846
superblue5 15625 ms  k 3018
superblue1 25426 ms  k 3812
superblue3 34667 ms  k 4393
superblue10 72324 ms  k 6204
superblue7 88357 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

