superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
65272,	 	78135,		120820,		123877,		166625,		184310,		339738,		425045
64933,	 	78775,		120995,		124290,		166497,		184379,		339946,		425091
64452,	 	78482,		120678,		123744,		166393,		184171,		340915,		424619
65255,	 	78148,		121526,		123742,		166435,		184318,		339775,		425501
64742,	 	78808,		120879,		123962,		166905,		184343,		339648,		424926
65151,	 	78203,		120784,		124512,		166489,		183885,		339645,		424716
65207,	 	78528,		120797,		123694,		166413,		184341,		339478,		425726
64609,	 	78022,		120833,		123868,		166223,		184087,		339639,		424737
64759,	 	78196,		120841,		123952,		166394,		184915,		339701,		424855
64765,	 	78357,		120970,		123545,		167624,		184416,		339388,		424854
