superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
300037,	 	363624,		566465,		583031,		785124,		875376,		1620176,		2030316
299901,	 	363543,		572194,		580371,		785055,		870818,		1622162,		2029838
299870,	 	363638,		566370,		582973,		785146,		872842,		1620236,		2031227
299882,	 	363559,		568662,		580378,		785040,		870874,		1620266,		2030157
299951,	 	363558,		566347,		580454,		787207,		872300,		1619790,		2032235
299915,	 	365311,		566444,		580383,		785073,		870787,		1620496,		2030350
299930,	 	363573,		566359,		580378,		787483,		873361,		1619948,		2030323
299881,	 	365578,		566366,		580394,		785057,		870848,		1622120,		2030030
299901,	 	363554,		566445,		580375,		787077,		872780,		1620017,		2030841
299894,	 	365974,		566364,		580388,		785052,		870868,		1620351,		2030659
