superblue18 300037 ms  k 2741
superblue4 875376 ms  k 4887
superblue16 566465 ms  k 3846
superblue5 363624 ms  k 3018
superblue1 583031 ms  k 3812
superblue3 785124 ms  k 4393
superblue10 1620176 ms  k 6204
superblue7 2030316 ms  k 7420
superblue18 299901 ms  k 2741
superblue4 870818 ms  k 4887
superblue16 572194 ms  k 3846
superblue5 363543 ms  k 3018
superblue1 580371 ms  k 3812
superblue3 785055 ms  k 4393
superblue10 1622162 ms  k 6204
superblue7 2029838 ms  k 7420
superblue18 299870 ms  k 2741
superblue4 872842 ms  k 4887
superblue16 566370 ms  k 3846
superblue5 363638 ms  k 3018
superblue1 582973 ms  k 3812
superblue3 785146 ms  k 4393
superblue10 1620236 ms  k 6204
superblue7 2031227 ms  k 7420
superblue18 299882 ms  k 2741
superblue4 870874 ms  k 4887
superblue16 568662 ms  k 3846
superblue5 363559 ms  k 3018
superblue1 580378 ms  k 3812
superblue3 785040 ms  k 4393
superblue10 1620266 ms  k 6204
superblue7 2030157 ms  k 7420
superblue18 299951 ms  k 2741
superblue4 872300 ms  k 4887
superblue16 566347 ms  k 3846
superblue5 363558 ms  k 3018
superblue1 580454 ms  k 3812
superblue3 787207 ms  k 4393
superblue10 1619790 ms  k 6204
superblue7 2032235 ms  k 7420
superblue18 299915 ms  k 2741
superblue4 870787 ms  k 4887
superblue16 566444 ms  k 3846
superblue5 365311 ms  k 3018
superblue1 580383 ms  k 3812
superblue3 785073 ms  k 4393
superblue10 1620496 ms  k 6204
superblue7 2030350 ms  k 7420
superblue18 299930 ms  k 2741
superblue4 873361 ms  k 4887
superblue16 566359 ms  k 3846
superblue5 363573 ms  k 3018
superblue1 580378 ms  k 3812
superblue3 787483 ms  k 4393
superblue10 1619948 ms  k 6204
superblue7 2030323 ms  k 7420
superblue18 299881 ms  k 2741
superblue4 870848 ms  k 4887
superblue16 566366 ms  k 3846
superblue5 365578 ms  k 3018
superblue1 580394 ms  k 3812
superblue3 785057 ms  k 4393
superblue10 1622120 ms  k 6204
superblue7 2030030 ms  k 7420
superblue18 299901 ms  k 2741
superblue4 872780 ms  k 4887
superblue16 566445 ms  k 3846
superblue5 363554 ms  k 3018
superblue1 580375 ms  k 3812
superblue3 787077 ms  k 4393
superblue10 1620017 ms  k 6204
superblue7 2030841 ms  k 7420
superblue18 299894 ms  k 2741
superblue4 870868 ms  k 4887
superblue16 566364 ms  k 3846
superblue5 365974 ms  k 3018
superblue1 580388 ms  k 3812
superblue3 785052 ms  k 4393
superblue10 1620351 ms  k 6204
superblue7 2030659 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

