superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
8334,	 	10449,		16272,		16262,		21374,		25629,		43320,		53551
9344,	 	9358,		15756,		16188,		21659,		25635,		43178,		53520
7744,	 	9429,		15662,		14851,		21263,		25602,		43205,		53520
7813,	 	9386,		15886,		15767,		21434,		25117,		43367,		53511
9692,	 	11027,		16218,		17030,		21631,		25473,		43288,		53537
7849,	 	11437,		16345,		16787,		21392,		25505,		43389,		53536
9675,	 	9894,		16169,		17125,		21514,		25556,		43223,		53475
8843,	 	9350,		16087,		15739,		21749,		25022,		43311,		53601
8423,	 	9899,		16131,		15433,		21491,		25466,		43297,		53457
7807,	 	9607,		16473,		15144,		21522,		25403,		43250,		53505
