superblue18 21190 ms  k 2741
superblue4 55438 ms  k 4887
superblue16 36851 ms  k 3846
superblue5 24537 ms  k 3018
superblue1 37767 ms  k 3812
superblue3 50110 ms  k 4393
superblue10 100468 ms  k 6204
superblue7 125444 ms  k 7420
superblue18 20454 ms  k 2741
superblue4 55415 ms  k 4887
superblue16 36785 ms  k 3846
superblue5 24040 ms  k 3018
superblue1 37972 ms  k 3812
superblue3 49688 ms  k 4393
superblue10 100349 ms  k 6204
superblue7 125453 ms  k 7420
superblue18 20626 ms  k 2741
superblue4 55409 ms  k 4887
superblue16 36837 ms  k 3846
superblue5 24621 ms  k 3018
superblue1 37962 ms  k 3812
superblue3 50298 ms  k 4393
superblue10 100105 ms  k 6204
superblue7 125272 ms  k 7420
superblue18 19997 ms  k 2741
superblue4 55426 ms  k 4887
superblue16 37108 ms  k 3846
superblue5 24507 ms  k 3018
superblue1 37690 ms  k 3812
superblue3 50376 ms  k 4393
superblue10 100972 ms  k 6204
superblue7 126217 ms  k 7420
superblue18 20712 ms  k 2741
superblue4 55720 ms  k 4887
superblue16 36963 ms  k 3846
superblue5 24616 ms  k 3018
superblue1 37693 ms  k 3812
superblue3 50562 ms  k 4393
superblue10 100992 ms  k 6204
superblue7 125903 ms  k 7420
superblue18 20733 ms  k 2741
superblue4 55119 ms  k 4887
superblue16 36568 ms  k 3846
superblue5 24518 ms  k 3018
superblue1 37675 ms  k 3812
superblue3 50148 ms  k 4393
superblue10 101182 ms  k 6204
superblue7 125588 ms  k 7420
superblue18 20690 ms  k 2741
superblue4 55565 ms  k 4887
superblue16 37258 ms  k 3846
superblue5 23900 ms  k 3018
superblue1 37390 ms  k 3812
superblue3 50101 ms  k 4393
superblue10 100494 ms  k 6204
superblue7 125756 ms  k 7420
superblue18 20419 ms  k 2741
superblue4 55263 ms  k 4887
superblue16 36661 ms  k 3846
superblue5 23768 ms  k 3018
superblue1 37545 ms  k 3812
superblue3 49992 ms  k 4393
superblue10 100249 ms  k 6204
superblue7 125474 ms  k 7420
superblue18 20502 ms  k 2741
superblue4 55333 ms  k 4887
superblue16 37148 ms  k 3846
superblue5 24118 ms  k 3018
superblue1 37833 ms  k 3812
superblue3 50358 ms  k 4393
superblue10 101040 ms  k 6204
superblue7 125393 ms  k 7420
superblue18 20685 ms  k 2741
superblue4 55236 ms  k 4887
superblue16 36757 ms  k 3846
superblue5 24501 ms  k 3018
superblue1 37475 ms  k 3812
superblue3 50143 ms  k 4393
superblue10 100240 ms  k 6204
superblue7 125583 ms  k 7420
===============================================================================
test cases: 1 | 1 passed
assertions: - none -

